Name,Attack,Defense,Magic,Resistance,HP,Mana,Dexterity,Ward,Crit,Boss
Aaru Armor,0,130,0,40,0,0,0,2,0,1
Aaru Boots,0,110,0,70,0,0,30,2,2,1
Aaru Garb,0,110,0,70,0,0,30,2,0,1
Aaru Headwrap,22,-130,0,-130,0,0,20,0,0
Aaru Helmet,22,-130,0,-130,0,0,0,0,0
Aaru Hood,0,-130,28,-130,0,20,0,0,0
Aaru Leggings,0,130,0,40,0,0,0,2,0
Aaru Robe,0,70,0,110,0,30,0,2,0
Aaru Skirt,0,110,0,70,0,0,30,2,2
Abyssal Armor,12,220,12,55,60,0,0,3,0
Abyssal Axe,220,55,0,0,60,0,0,9,0
Abyssal Greaves,12,220,12,55,60,0,0,3,0
Abyssal Helmet,12,220,12,55,60,0,0,3,0
Achlys Razor,280,0,0,0,0,0,0,0,3
Acolyte Hood,0,95,0,242,0,0,0,0,0,-1
Acolyte Robe,0,95,0,242,0,0,0,0,0,-1
Acolyte Shoes,0,95,0,242,0,0,0,0,0
Acolyte Staff,0,0,242,0,0,0,0,0,0
Adamantine Amulet,60,0,0,0,0,0,0,0,0
Adamantine Armor,0,102,0,32,0,0,0,0,0
Adamantine Helmet,0,96,0,30,0,0,0,0,0
Adamantine Leggings,0,96,0,32,0,0,0,0,0
Adamantine Staff,30,0,105,0,0,0,0,0,0
Aegis,0,12,0,0,48,0,0,29,0,-1
Aegis of Athena,0,0,0,0,48,0,0,17,0
Aengus Og's Lute,30,0,30,0,0,0,0,12,0
Agathodaemon Hammer,167,30,0,30,0,0,0,20,0
Age-Old Mimic Head,0,0,0,0,0,0,0,0,0
Aglovale,303,0,303,0,333,333,0,-50,1
Aine's Axe,24,0,24,0,0,0,0,8,0
Aldon's Hat,0,35,0,8,0,0,0,0,0
All-seer's Gem,0,0,0,0,0,0,0,0,0
Alpha Myrddin,0,0,118,0,24,40,0,0,0
Alpha Myrddin Cloak,0,115,0,55,0,0,24,0,0
Alpha Myrddin Cowl,0,117,0,0,0,20,20,0,0
Alpha Myrddin Hood,0,24,0,117,0,20,0,0,0
Alpha Myrddin Robe,0,0,0,118,0,0,0,0,0
Alpha Myrddin Shield,0,0,0,0,88,0,0,16,0
Alpha Olympia Archistaff,0,0,24,0,0,0,12,2,0
Alpha Olympia Boots,0,17,0,17,32,0,12,0,1
Alpha Olympia Cowl,0,17,0,17,32,0,12,0,1
Alpha Olympia Cuirass,0,24,0,11,32,0,0,0,0
Alpha Olympia Garb,0,17,0,17,32,0,12,0,1
Alpha Olympia Greaves,0,24,0,11,32,0,0,0,0
Alpha Olympia Helmet,0,24,0,11,32,0,0,0,0
Alpha Olympia Hood,0,11,0,24,32,0,0,0,0
Alpha Olympia Shoes,0,11,0,24,32,0,0,0,0
Alpha Olympia Vestment,0,11,0,24,32,0,0,0,0
Alpha Olympia Warbow,25,0,0,0,0,0,24,2,4
Alpha Olympia Warsword,24,0,0,0,0,0,0,2,2
Amadan's Staff,0,0,60,60,0,0,0,8,0
Amergin's Razor,24,0,24,0,0,0,0,12,0
Amulet,10,0,0,0,0,0,0,0,0
Ancient Boots,0,25,0,62,0,0,0,0,0
Ancient Dark Essence,20,20,20,20,80,80,0,0,0
Ancient Earth Essence,20,20,20,20,80,80,0,0,0
Ancient Eye,8,8,8,8,22,22,0,0,0
Ancient Fire Essence,20,20,20,20,80,80,0,0,0
Ancient Holy Essence,20,20,20,20,80,80,0,0,0
Ancient Hood,0,38,0,58,0,0,0,0,0
Ancient Jinn Staff,0,0,204,0,0,0,0,0,0
Ancient Lightning Essence,20,20,20,20,80,80,0,0,0
Ancient Mimic Head,-25,-25,-25,-25,-25,-25,-25,0,0
Ancient Robe,0,40,0,75,0,0,0,0,0
Ancient Troll's Charm,25,25,25,25,55,25,8,0,0
Ancient Water Essence,20,20,20,20,80,80,0,0,0
Ankh,70,0,70,0,0,0,0,0,0
Ankou's Ring,0,0,0,0,0,0,0,0,0
Annwn Rapier,214,0,0,0,0,0,30,0,0
Annwn Shotel,178,0,0,0,0,0,24,0,0
Antidote Pendant,0,0,0,0,0,0,0,0,0
Antlers,0,62,0,62,0,0,0,0,0
Apprentice Hood,0,7,0,27,0,0,0,0,0
Apprentice Robe,0,7,0,27,0,0,0,0,0
Apprentice Shoes,0,7,0,27,0,0,0,0,0
Arc,132,0,0,0,0,0,10,0,0
Arcane Arrows,24,0,0,3,0,0,0,-50,0
Arcane Boots,0,45,0,55,0,20,0,0,0
Arcane Hat,0,45,0,55,0,20,0,0,0
Arcane Robe,0,45,0,60,0,30,0,0,0
Arcane Scroll,0,0,24,0,0,0,0,-10,0
Arcane Wand,0,0,178,0,0,0,0,0,0
Arch-Blessed Rune Armor,0,45,0,230,0,0,0,0,0
Arch-Blessed Rune Helmet,0,45,0,230,0,0,0,0,0
Arch-Blessed Rune Leggings,0,45,0,230,0,0,0,0,0
Arch-Gadget,0,10,0,10,0,0,0,0,0
Arch-Gizmo,0,0,10,0,0,0,0,0,0
Arch-Rune Armor,0,45,0,140,0,0,0,0,0
